todo_id,repository,file,section_or_line,exact_marker,short_description,category,scientific_significance,dependency,blocking_gate,priority,action_required,evidence_required,current_status,resolution,resolution_commit,target_milestone,release_blocking,manuscript_blocking,sprint,notes
TODO-MAN-001,private_paper,sections/00_abstract.tex,abstract,controlled_corpus_size_wording,Final corpus N in abstract,BLOCKED_BY_CORPUS_FREEZE,high,freeze + coding,corpus_freeze_gate,P2,Insert N after freeze,Frozen L0/L1 lists,blocked,controlled_reader_text_pending_freeze,,sprint4,false,true,SPRINT 4,Reader-safe text until freeze; insert numeric N before submission
TODO-MAN-002,private_paper,sections/00_abstract.tex,abstract,controlled_prereg_id_wording,Prereg ID in abstract,BLOCKED_BY_PREREGISTRATION,high,prereg submission,preregistration,P2,Insert registry ID after registration,Public prereg record,blocked,controlled_reader_text_pending_prereg,,sprint4,false,true,SPRINT 4,
TODO-MAN-003,private_paper,sections/01_introduction.tex,methods para,controlled_corpus_size_wording,Corpus size intro,BLOCKED_BY_CORPUS_FREEZE,high,freeze,corpus_freeze_gate,P2,Same as MAN-001,Frozen corpus,blocked,controlled_reader_text_pending_freeze,,sprint4,false,true,SPRINT 4,DUPLICATE of MAN-001 substance
TODO-MAN-004,private_paper,sections/01_introduction.tex,methods para,controlled_prereg_id_wording,Prereg ID intro,BLOCKED_BY_PREREGISTRATION,high,prereg,preregistration,P2,Same as MAN-002,Prereg ID,blocked,controlled_reader_text_pending_prereg,,sprint4,false,true,SPRINT 4,DUPLICATE of MAN-002 substance
TODO-MAN-005,private_paper,sections/03_research_questions.tex,RQ section,controlled_corpus_size_wording,Corpus size in RQs,BLOCKED_BY_CORPUS_FREEZE,medium,freeze,corpus_freeze_gate,P2,Same as MAN-001,Frozen corpus,blocked,controlled_reader_text_pending_freeze,,sprint4,false,true,SPRINT 4,
TODO-MAN-006,private_paper,sections/04_methods.tex,study design,controlled_prereg_id_wording,Prereg ID methods,BLOCKED_BY_PREREGISTRATION,high,prereg,preregistration,P2,Same as MAN-002,Prereg ID,blocked,controlled_reader_text_pending_prereg,,sprint4,false,true,SPRINT 4,
TODO-MAN-007,private_paper,sections/04_methods.tex,sampling,controlled_eligibility_wording,Eligibility wording,RESOLVABLE_NOW_METHOD,high,protocol draft,corpus_freeze_gate for final freeze tag,P1,Align to corpus_selection.md operative draft; note freeze still pending,Protocol text,resolved,Aligned to current operative eligibility; freeze tag still required,,sprint1,false,false,SPRINT 1,Final freeze confirmation remains TODO-FRZ-001
TODO-MAN-008,private_paper,sections/04_methods.tex,sampling,controlled_corpus_size_wording,Corpus size methods,BLOCKED_BY_CORPUS_FREEZE,high,freeze,corpus_freeze_gate,P2,Same as MAN-001,Frozen corpus,blocked,controlled_reader_text_pending_freeze,,sprint4,false,true,SPRINT 4,
TODO-MAN-009,private_paper,sections/04_methods.tex,ladder,codebook_E1_aligned,Highest-applicable rung wording,RESOLVABLE_NOW_METHOD,high,codebook E1,none,P1,Use codebook E1 definition,codebook_v0.1.yaml E1,resolved,Manuscript states highest ordinal depth per codebook E1,,sprint1,false,false,SPRINT 1,
TODO-MAN-010,private_paper,sections/04_methods.tex,reliability,small_corpus_threshold_defined,Double-coding fraction,RESOLVABLE_NOW_METHOD,high,reliability_policy,none for rule; coding still blocked,P1,Define small-corpus threshold in reliability policy,reliability_policy_v0.1.md,resolved,Small=≤15 L1 and ≤250 PEs → 100% double-coding; else preregistered subsample,,sprint1,false,false,SPRINT 1,
TODO-MAN-011,private_paper,sections/04_methods.tex,reliability,krippendorff2018content,Krippendorff α citation,RESOLVABLE_NOW_CITATION,high,bib entry,none,P1,Cite Krippendorff 2018 Content Analysis 4th ed.,ISBN/publisher metadata,resolved,Added krippendorff2018content; bands cited,,sprint1,false,false,SPRINT 1,
TODO-MAN-012,private_paper,sections/02_background.tex,HRA,swain1983therp,Classic HRA citation,RESOLVABLE_NOW_CITATION,medium,bib entry,none,P2,Cite Swain & Guttmann 1983 THERP NUREG/CR-1278,OSTI/NUREG metadata,resolved,Added swain1983therp alongside SPAR-H,,sprint1,false,false,SPRINT 1,Bibliographic only; no HEP estimation claimed
TODO-MAN-013,private_paper,sections/02_background.tex,AFN,fema2010fnss,Official AFN guidance citation,RESOLVABLE_NOW_CITATION,medium,bib entry,CF-02 fulltext still separate,P2,Cite FEMA 2010 FNSS guidance + keep Kailes2007,FEMA Nov 2010 FNSS,resolved,Added fema2010fnss; CF-02 coding access still blocked,,sprint1,false,false,SPRINT 1,Does NOT authorize CF-02 coding
TODO-MAN-014,private_paper,sections/05_results.tex,section,intentional_results_shell,Results blocked,BLOCKED_BY_EMPIRICAL_RESULTS,critical,full coding,full_coding_gate,P2,Keep intentional shell,Coding outputs,blocked,intentional_placeholder_results,,sprint5,false,true,SPRINT 5,INTENTIONAL_PLACEHOLDER
TODO-MAN-015,private_paper,sections/06_discussion.tex,section,intentional_discussion_shell,Discussion blocked,BLOCKED_BY_EMPIRICAL_RESULTS,critical,Results,full_coding_gate,P2,Keep intentional shell,Results,blocked,intentional_placeholder_discussion,,sprint6,false,true,SPRINT 6,INTENTIONAL_PLACEHOLDER
TODO-MAN-016,private_paper,sections/07_conclusion.tex,section,intentional_conclusion_shell,Conclusion blocked,BLOCKED_BY_EMPIRICAL_RESULTS,critical,Discussion,full_coding_gate,P2,Keep intentional shell,Discussion,blocked,intentional_placeholder_conclusion,,sprint6,false,true,SPRINT 6,INTENTIONAL_PLACEHOLDER
