participant_id,case_id,assigned_layer,confidence_1_to_5,notes,experiment_id,pass_type
,L04-01,,,,EXP-04,independent_human
,L04-02,,,,EXP-04,independent_human
,L04-03,,,,EXP-04,independent_human
,L04-04,,,,EXP-04,independent_human
,L04-05,,,,EXP-04,independent_human
,L04-06,,,,EXP-04,independent_human
,L04-07,,,,EXP-04,independent_human
,L04-08,,,,EXP-04,independent_human
,L04-09,,,,EXP-04,independent_human
,L04-10,,,,EXP-04,independent_human
,L04-11,,,,EXP-04,independent_human
,L04-12,,,,EXP-04,independent_human
,L04-13,,,,EXP-04,independent_human
,L04-14,,,,EXP-04,independent_human
,L04-15,,,,EXP-04,independent_human
,L04-16,,,,EXP-04,independent_human
,L04-17,,,,EXP-04,independent_human
,L04-18,,,,EXP-04,independent_human
