route_id,candidate_id,institution_or_platform,query_used,date_checked,result,access_status,authorization_basis,version_found,completeness,usability_for_coding,redistribution_restrictions,next_action
AR-CF02-001,CF-02,Unpaywall API,doi:10.1177/10442073070170040601,2026-07-31,is_oa=false; oa_status=closed; best_oa_location=null,no_authorized_fulltext,closed_publisher,2007 JDPS article,n/a,not_usable,publisher copyright,Pursue ILL / library / author / publisher portal
AR-CF02-002,CF-02,OpenAlex works API,https://doi.org/10.1177/10442073070170040601,2026-07-31,is_oa=false; any_repository_has_fulltext=false; primary SAGE landing,no_authorized_fulltext,closed_publisher,2007 JDPS article,n/a,not_usable,publisher copyright,Do not treat metadata as access
AR-CF02-003,CF-02,DOI resolver / SAGE journals,https://doi.org/10.1177/10442073070170040601,2026-07-31,Landing resolves to SAGE; PDF endpoint returns 403 without subscription in this environment,no_authorized_fulltext,paywall_or_bot_challenge,2007 JDPS article,n/a,not_usable,publisher copyright,Retry via institutional IP / proxy
AR-CF02-004,CF-02,CiteSeerX location listed by OpenAlex,citeseerx summary doi 10.1.1.473.5189,2026-07-31,Location exists in OpenAlex; rights status unclear — not used,rejected_uncertain_rights,uncertain_third_party_mirror,unknown,unknown,not_used,Do not use without rights verification,Ignore unless author-authorized copy confirmed
AR-CF02-005,CF-02,UCJC / institutional library discovery,title Moving Beyond Special Needs Kailes Enders 2007,2026-07-31,Not executable from this agent environment (no library session),pending_human,institutional_subscription_if_held,unknown,unknown,unknown,publisher terms if accessed,HUMAN: search UCJC discovery + SAGE package
AR-CF02-006,CF-02,Interlibrary loan / document delivery,JDPS 17(4) 230-237 2007,2026-07-31,Request template prepared; not sent by agent,pending_human,ILL_if_fulfilled,2007 JDPS article expected,expected_full_article,usable_if_delivered,no_public_redistribution,HUMAN: submit ILL with PERM pack
AR-CF02-007,CF-02,Author manuscript / institutional repository,authors June Isaacson Kailes; Alexandra Enders,2026-07-31,No verified author-OA fulltext found via OpenAlex repository flag,not_identified,author_share_if_lawful,n/a,n/a,n/a,author/publisher terms,HUMAN: request author-authorized copy
AR-CF02-008,CF-02,Direct author / publisher permissions,PERM-CF02-001 template,2026-07-31,Ready-to-send templates written; not auto-sent,template_ready_not_sent,permission_if_granted,2007 version,n/a,usable_if_granted,no_redistribution_stated_in_request,HUMAN: send via publisher portal / verified contacts only
AR-CF02-009,CF-02,Pirate repositories / unauthorized mirrors,n/a,2026-07-31,Explicitly forbidden by protocol,forbidden,none,n/a,n/a,not_usable,illegal,Do not use
AR-FNSS-001,ALT-FNSS-001,Missouri SEMA public redistribution of FEMA FNSS,fnssfinalguidance20101031.pdf,2026-07-31,HTTP 200; PDF 166 pages; sha256 recorded; title/author match FEMA Nov 2010 FNSS,authorized_fulltext_verified_local,public_official_redistribution,November 2010 FEMA FNSS,complete_pdf,usable_for_coding_if_amendment_adopts,public US gov guidance; do not claim exclusive host,Eligible as operational L1 only after formal amendment — NOT auto-substituted for CF-02
AR-FNSS-002,ALT-FNSS-001,FEMA.gov primary hosts,fema.gov FNSS URLs,2026-07-31,Direct FEMA hosts returned 403 from this environment (bot/CDN); content identity established via state EMA copy + prior bibliographic record,primary_host_blocked_here_state_copy_ok,public_official_guidance,November 2010,complete_via_AR-FNSS-001,usable_via_AR-FNSS-001,public,Prefer citing FEMA as issuer; archive SEMA URL as retrieval locator
AR-ASPR-001,ALT-ASPR-CMIST-001,ASPR / ASPR TRACIE CMIST web pages,CMIST access functional needs,2026-07-31,Web explainers / fact sheets located; not a stable PE-dense L1 PDF for school protective actions,citation_or_background_only,public_web,2023 webpage lineage,html_not_versioned_L1,low_prescriptive_density,public web,Keep as concept citation; not coding comparator
