participant_id,case_id,measure_present,measure_type,prescriptive_force,demand_alert_perception,demand_alert_perception_source,demand_instruction_comprehension,demand_instruction_comprehension_source,demand_decision_making,demand_decision_making_source,demand_emergency_communication,demand_emergency_communication_source,demand_inhibitory_acoustic,demand_inhibitory_acoustic_source,demand_inhibitory_movement,demand_inhibitory_movement_source,demand_behavioural_sensory_regulation,demand_behavioural_sensory_regulation_source,demand_physical_execution,demand_physical_execution_source,demand_temporal_endurance,demand_temporal_endurance_source,demand_responder_interaction,demand_responder_interaction_source,support_present,support_demand_link,executability_rung,executability_locus,branch_b_out_of_scope,confidence_1_to_5,perceived_difficulty_1_to_5,pass_type,experiment_id,dataset_role
SYN-CODER-A,C02-01,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-02,1,procedural_response,recommended,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-03,1,communication_alerting,required,1,explicit,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,2,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-04,1,procedural_response,required,1,explicit,1,entailed,0,,0,,0,,0,,0,,1,explicit,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-05,1,procedural_response,recommended,0,,0,,1,explicit,0,,0,,0,,0,,1,entailed,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-06,1,procedural_response,required,0,,0,,0,,0,,1,explicit,0,,0,,0,,1,entailed,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-07,1,procedural_response,recommended,0,,0,,1,entailed,0,,0,,0,,0,,1,entailed,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-08,1,procedural_response,recommended,0,,0,,0,,0,,0,,0,,0,,1,entailed,0,,0,,1,1,2,individual,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-09,1,training_drill,required,0,,0,,0,,0,,0,,0,,0,,1,explicit,0,,0,,1,1,4,subgroup,0,4,2,independent_human,EXP-02,synthetic_demonstration
SYN-CODER-A,C02-10,1,training_drill,recommended,1,entailed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,not_applicable,1,not_specified,0,4,2,independent_human,EXP-02,synthetic_demonstration
