participant_id,case_id,units_identified,unit_boundaries_notes,confidence_1_to_5,pass_type,experiment_id
,U01-01,,,,independent_human,EXP-01
,U01-02,,,,independent_human,EXP-01
,U01-03,,,,independent_human,EXP-01
,U01-04,,,,independent_human,EXP-01
,U01-05,,,,independent_human,EXP-01
,U01-06,,,,independent_human,EXP-01
,U01-07,,,,independent_human,EXP-01
,U01-08,,,,independent_human,EXP-01
,U01-09,,,,independent_human,EXP-01
,U01-10,,,,independent_human,EXP-01
,U01-11,,,,independent_human,EXP-01
,U01-12,,,,independent_human,EXP-01
,U01-13,,,,independent_human,EXP-01
,U01-14,,,,independent_human,EXP-01
,U01-15,,,,independent_human,EXP-01
,U01-16,,,,independent_human,EXP-01
,U01-17,,,,independent_human,EXP-01
,U01-18,,,,independent_human,EXP-01
,U01-19,,,,independent_human,EXP-01
,U01-20,,,,independent_human,EXP-01
,U01-21,,,,independent_human,EXP-01
,U01-22,,,,independent_human,EXP-01
,U01-23,,,,independent_human,EXP-01
,U01-24,,,,independent_human,EXP-01
,U01-25,,,,independent_human,EXP-01
,U01-26,,,,independent_human,EXP-01
