paper1_variable,documentary_revelation,slapa_domain,possible_organisational_observable,direct_translation_justified,additional_field_evidence_required,future_indicator_provisional,construct_overextension_risk,suggested_use
prescription_presence_measure_present,Whether doctrine states a discrete protective/security prescription,D;A,Local plan contains corresponding procedure,no — presence in doctrine ≠ local adoption,yes,yes,Treating prescription as capability,item_development; document_requests; exclusion_rules
support_specification_support_present,Whether doctrine names supports/accommodations linked to actions,D;E,Inventory of named supports (PEEP aids buddies multimodal alerts),partial — named-support rule transfers; adoption does not,yes,yes,Generic inclusivity language coded as support,item_development; observation_protocols; scoring_rules
assessment_language,Whether doctrine directs assessment of executability (rung 3),D;H,Records of executability/accessibility assessment of protective actions,no — doctrinal directive ≠ performed assessment,yes,yes,Confusing security vulnerability tools (e.g. SSAT) with executability assessment,exclusion_rules; interview_prompts; scoring_rules
testing_exercise_provisions,Whether doctrine requires drills/tests under realistic conditions (rung 4 candidates),D;G,Exercise designs that verify protective-action performance including access constraints,no,yes,yes — benchmark-dependent rung rules,Counting any drill as executability test,item_development; observation_protocols
evidence_based_revision,Whether doctrine requires using test/exercise findings to revise measures (rung 5),H;G,Versioned plan changes linked to REX/exercise findings,no,yes,yes — optional-language ambiguity,Optional learning loops treated as proven adaptation,document_requests; scoring_rules; interview_prompts
executability_engagement_rung,Depth of doctrinal engagement 0-5 with executability,D;G;H,Profile of local engagement depth across actions (adoption+capability+exercise),no — rung is documentary not organisational,yes,yes,Mapping centre score = mean documentary rung,scoring_rules; exclusion_rules
executability_locus,Level at which doctrine addresses executability (individual/subgroup/setting/multiple/not_specified),D;E;A,Whether local plans operate at individual plan setting or both,partial — locus taxonomy reusable,yes,yes,Inferring setting preparedness from individual PEEPs alone,item_development; scoring_rules
setting_differentiation,Whether doctrine differentiates by setting type/conditions,E;A;F,Local differentiation of procedures by site type/population/conditions,no — catalog thresholds ≠ inclusive capability,yes,yes,Ranking special education settings as softer targets,interview_prompts; comparison_safeguards
demand_source_explicit_entailed_ambiguous_memo,Epistemic status of coded demands in doctrine,method_only,Coder/analyst rule for interpreting local procedures; training for assessors,yes for method discipline; no as school score,partial (assessor training),no for method; yes if used as centre metric,Using ambiguous_memo as evidence of demand presence,scoring_rules; exclusion_rules; assessor_manual
motor_demands_demand_physical_execution,Doctrine entails/states motor task demands,D;E;F,Whether supports/routes/staffing match motor demands of local procedures,no,yes,yes,Implying occupants are incapable from demand codes alone,observation_protocols; item_development
sensory_demands_alert_perception_inhibitory_acoustic_behavioural_sensory,Doctrine entails/states sensory/alert/inhibitory acoustic/regulation demands,D;E,Multimodal alerting; sensory supports; silence alternatives,no,yes,yes,Deficit framing; over-coding silence from protocol names,observation_protocols; item_development
cognitive_communication_demands_instruction_comprehension_decision_making_emergency_communication,Doctrine entails/states comprehension decision or transmission demands,D;E;C,Simplified instructions; decision supports; communication aids/protocols,no,yes,yes,Equating complex instructions with poor school quality,item_development; interview_prompts
inhibitory_demands_inhibitory_acoustic_inhibitory_movement,Doctrine requires sustained silence/stillness,D;E;G,Whether exercises include alternatives/supports for inhibitory demands,no,yes,yes — Phase A rule: no entailment from names alone,Assuming lockdown always implies silence without text,observation_protocols; scoring_rules
responder_interaction_demands,Doctrine specifies interaction with armed responders,D;C;G,Training and procedures for responder encounter adapted to population,no,yes,yes,Treating absence as endorsement of unsafe practice,interview_prompts; item_development
ambiguous_memo,Uncertainty flag; not confirmatory evidence,method_only,Assessor uncertainty log; do not score as presence,yes as exclusion rule,n/a,no,Counting memos as demands or supports,exclusion_rules; assessor_manual
