participant_id,case_id,domain_id,can_assess_yes_no_partial,evidence_cited,evidence_layer,information_missing,unjustified_if_scored,additional_evidence_to_request,notes,experiment_id,total_readiness_score,dataset_role
SYN-ASSESSOR-1,CASE-A,A,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,B,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,C,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,D,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,E,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,F,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,G,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-A,H,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,A,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,B,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,C,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,D,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,E,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,F,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,G,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-B,H,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,A,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,B,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,C,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,D,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,E,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,F,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,G,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-1,CASE-C,H,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,A,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,B,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,C,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,D,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,E,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,F,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,G,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-A,H,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,A,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,B,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,C,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,D,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,E,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,F,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,G,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
SYN-ASSESSOR-2,CASE-B,H,partial,synthetic packet fields,2,direct observation,any Layer-5 effectiveness claim,timed inclusive drill observation,,EXP-06,,synthetic_demonstration
