case_id,reference_label,not_true_answer,measure_present,measure_type,prescriptive_force,demand_alert_perception,demand_instruction_comprehension,demand_decision_making,demand_emergency_communication,demand_inhibitory_acoustic,demand_inhibitory_movement,demand_behavioural_sensory_regulation,demand_physical_execution,demand_temporal_endurance,demand_responder_interaction,demand_alert_perception_source,demand_instruction_comprehension_source,demand_decision_making_source,demand_emergency_communication_source,demand_inhibitory_acoustic_source,demand_inhibitory_movement_source,demand_behavioural_sensory_regulation_source,demand_physical_execution_source,demand_temporal_endurance_source,demand_responder_interaction_source,support_present,support_demand_link,executability_rung,executability_locus,branch_b_out_of_scope,analysis_scope,rationale,disagreement_interest,experiment_id
C02-01,REFERENCE_ADJUDICATION,true,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,planning only,rule_application,EXP-02
C02-02,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,subgroup,0,branch_a_executability,generic inclusivity → support 0,codebook_ambiguity,EXP-02
C02-03,REFERENCE_ADJUDICATION,true,1,communication_alerting,required,1,0,0,0,0,0,0,0,0,0,explicit,,,,,,,,,,1,1,2,subgroup,0,branch_a_executability,named support → rung 2,rule_application,EXP-02
C02-04,REFERENCE_ADJUDICATION,true,1,procedural_response,required,1,1,0,0,0,0,0,1,0,0,explicit,entailed,,,,,,explicit,,,0,not_applicable,1,not_specified,0,branch_a_executability,explicit alert+motor,rule_application,EXP-02
C02-05,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,1,0,0,0,0,1,0,0,,,explicit,,,,,entailed,,,0,not_applicable,1,not_specified,0,branch_a_executability,decision demand,rule_application,EXP-02
C02-06,REFERENCE_ADJUDICATION,true,1,procedural_response,required,0,0,0,0,1,0,0,0,1,0,,,,,explicit,,,,entailed,,0,not_applicable,1,not_specified,0,branch_a_executability,explicit silence,rule_application,EXP-02
C02-07,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,1,0,0,0,0,1,0,0,,,entailed,,,,,entailed,,,0,not_applicable,1,not_specified,0,branch_a_executability,do not entail silence from name alone,plausible_alternative,EXP-02
C02-08,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,0,0,0,0,0,1,0,0,,,,,,,,entailed,,,1,1,2,individual,0,branch_a_executability,PEEP named support,rule_application,EXP-02
C02-09,REFERENCE_ADJUDICATION,true,1,training_drill,required,0,0,0,0,0,0,0,1,0,0,,,,,,,,explicit,,,1,1,4,subgroup,0,branch_a_executability,realistic testing of executability,rule_application,EXP-02
C02-10,REFERENCE_ADJUDICATION,true,1,training_drill,recommended,1,0,0,0,0,0,0,0,0,0,entailed,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,familiarisation ≠ rung 4,codebook_ambiguity,EXP-02
C02-11,REFERENCE_ADJUDICATION,true,1,other,required,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,5,not_specified,0,branch_a_executability,evidence-based revision,rule_application,EXP-02
C02-12,REFERENCE_ADJUDICATION,true,1,other,optional,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,5,not_specified,0,branch_a_executability,optional REX → provisional rung 5,benchmark_dependent,EXP-02
C02-13,REFERENCE_ADJUDICATION,true,1,other,optional,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,not executability assessment,coder_mistake_trap,EXP-02
C02-14,REFERENCE_ADJUDICATION,true,1,other,required,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,setting,0,branch_a_executability,setting differentiation not support,rule_application,EXP-02
C02-15,REFERENCE_ADJUDICATION,true,1,procedural_response,required,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,capacity clause ≠ AFN support,codebook_ambiguity,EXP-02
C02-16,REFERENCE_ADJUDICATION,true,1,communication_alerting,recommended,0,0,1,1,0,0,0,0,0,0,,,entailed,explicit,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,transmission,rule_application,EXP-02
C02-17,REFERENCE_ADJUDICATION,true,1,procedural_response,required,0,0,0,0,0,1,0,0,0,1,,,,,,entailed,,,,explicit,0,not_applicable,1,not_specified,0,branch_a_executability,responder interaction,rule_application,EXP-02
C02-18,REFERENCE_ADJUDICATION,true,1,procedural_response,optional,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,boilerplate; sensory demand not coded,ambiguous_memo_case,EXP-02
C02-19,REFERENCE_ADJUDICATION,true,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,0,not_specified,1,out_of_scope_branch_b_material_noted,Branch B out of scope for Branch A model,out_of_scope_branch_b,EXP-02
C02-20,REFERENCE_ADJUDICATION,true,1,training_drill,recommended,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,not_applicable,1,not_specified,0,branch_a_executability,generic consider,rule_application,EXP-02
C02-21,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,0,0,0,0,0,0,0,1,0,0,,,,,,,,entailed,,,1,1,2,subgroup,0,branch_a_executability,named support role,rule_application,EXP-02
C02-22,REFERENCE_ADJUDICATION,true,1,procedural_response,recommended,1,1,0,0,0,0,0,1,0,0,explicit,entailed,,,,,,explicit,,,0,not_applicable,1,not_specified,0,branch_a_executability,multi-action chain one PE,rule_application,EXP-02
