framework_id,framework_name,issuing_body,authority_type,primary_domain,secondary_domains,jurisdiction,geographic_region,eu_member_state,intended_setting_scope,comparator_status,version_date_text,source_domain_text,identity_status,screening_status,provenance_confidence,sampling_relevance_note,potential_counterexample_surface_indication,exclusion_or_uncertainty_concern,unresolved_verification_action,framework_notes,register_status
CF-01,Comprehensive School Safety Framework 2022-2030,GADRRRES / UNESCO,supranational,comprehensive_school_safety,,Global,multi,not_applicable,All schools (document terminology),frame_candidate,2022-2030 (published 2022),gadrrres.net; unesco.org,candidate_verified_identity,likely_eligible,verified_official_source,International all-hazards school-safety framework candidate for geographic breadth.,,All-hazards/DRR focus; lone-actor specificity unresolved pending full-text.,Confirm current official PDF URL and component list before freeze.,Identity established in librarian register; not a frozen corpus member.,provisional_v0.1
CF-02,CMIST function-based framework,Kailes & Enders (widely cited; FEMA/ASPR adoption claims unresolved),research_centre,accessibility_afn,,US-origin; international use claimed,multi,not_applicable,Emergency planning (AFN),benchmark_comparator_candidate,Kailes & Enders 2007 article; later CMIST operational revisions unresolved,disasterstrategies.org; ASPR (to confirm),candidate_partly_verified,uncertain_pending_full_text,partly_verified,Benchmark comparator candidate; exact operational L1 document to code is unresolved.,Librarian register notes a function-based demand taxonomy (communication/independence etc.); NOT coded here.,Needs taxonomy vs security-measure assessment instrument; L1 pin required.,Conceptual source under OPT-B; fulltext NO_GO; not primary operational L1,OpenAlex confirms 2007 Journal of Disability Policy Studies article (W2126945067; DOI 10.1177/10442073070170040601). Operational CMIST L1 and institutional adoption remain unresolved. Comparator candidate only; OpenAlex does not authorize corpus inclusion. | PA-2026-07-31-002: conceptual role only.,provisional_v0.1
CF-03,K-12 School Security Guide (3rd ed.) + School Security Assessment Tool,CISA (DHS),government,physical_security,active_assailant_response,United States,US,no,K-12 (US document terminology),frame_candidate,"3rd edition, 2022 (confirm SSAT companion version)",cisa.gov,candidate_verified_identity,likely_eligible,verified_official_source,US physical-security guide with companion assessment tool (L0+L1 pair).,,US-centric; companion tool extractability unresolved.,Confirm SSAT current artifact type and accessibility-related item presence without coding findings.,Do not describe as premier/dominant; identity only.,provisional_v0.1
CF-04,PASS Safety and Security Guidelines for K-12 Schools (+ Checklist),Partner Alliance for Safer Schools,professional_association,physical_security,cpted,United States,US,no,K-12 (US document terminology),frame_candidate,Seventh edition claimed in librarian notes — DATE AND CHECKLIST RELATIONSHIP PARTLY VERIFIED ONLY,passk12.org,candidate_partly_verified,uncertain_pending_full_text,partly_verified,Professional-standard physical-security candidate with possible separate checklist artifact.,,Edition date and checklist versioning unresolved; access/registration may apply.,Confirm exact edition label/date; whether Checklist is separately versioned; redistribution status.,Do not treat edition date or checklist link as fully verified.,provisional_v0.1
CF-05,Enhancing School Safety Using a Threat Assessment Model,U.S. Secret Service National Threat Assessment Center (NTAC),government,btam,,United States,US,no,K-12 (US document terminology),frame_candidate,2018 operational guide (confirm no superseding edition),secretservice.gov,candidate_verified_identity,likely_eligible,verified_official_source,US BTAM operational guide candidate for Branch B detectability sampling.,,Related NTAC reports may be descriptive rather than prescriptive — keep out of coded corpus if so.,Confirm no newer operational edition supersedes 2018 guide.,Do not label as leading/most studied.,provisional_v0.1
CF-06,Comprehensive School Threat Assessment Guidelines (CSTAG),unresolved — do not attribute to Cornell University pending verification,unresolved,btam,,United States,US,no,K-12 (US document terminology),frame_candidate,Current edition TBD,official CSTAG source TBD,candidate_partly_verified,uncertain_pending_full_text,known_not_reverified,BTAM model candidate; citable manual vs training programme unresolved.,,Issuing/publishing organisation and current edition unresolved.,"Identify current citable edition, publisher/source, and whether materials are a prescriptive manual.","Issuing organisation for operational CSTAG materials intentionally unresolved. Related peer-reviewed literature by Dewey G. Cornell et al. is recorded in openalex_literature_verifications.csv (OA-CF06-001) and does not establish the operational L1 manual, publisher, or adoption.",provisional_v0.1
CF-07,Guide for Developing High-Quality School Emergency Operations Plans (REMS),REMS TA Center (ED; interagency lineage claimed — confirm),government,eop,,United States,US,no,K-12 (US document terminology),frame_candidate,Often cited as 2013 — CURRENT VERSION UNRESOLVED,rems.ed.gov,candidate_partly_verified,uncertain_pending_full_text,known_not_reverified,US EOP doctrine candidate; companion disability/AFN annex identity unresolved.,,Companion disability material must be verified before treating as same L0 annex set.,Confirm current EOP Guide version and whether a disability/AFN annex exists as a distinct L1.,Do not assume AFN annex modifies lockdown tactics — that would be a coding finding.,provisional_v0.1
CF-08,CPTED School Safety Evaluation Tool,unresolved — CDC and/or Maryland Center for School Safety attribution not verified,unresolved,cpted,,United States (Maryland host claimed),US,no,K-12 (US document terminology),frame_candidate,Date TBD,schoolsafety.maryland.gov (claimed host — confirm),candidate_partly_verified,uncertain_pending_full_text,partly_verified,School-specific CPTED assessment instrument candidate.,,Joint CDC/Maryland authorship is an unresolved claim; version/date unresolved.,"Verify issuing body/authorship, official host, version, and publication date. Do not assert joint CDC/Maryland authorship until verified.",Attribution stored as unresolved note only.,provisional_v0.1
CF-09,Standard Response Protocol,"""I Love U Guys"" Foundation",non_profit,active_assailant_response,,United States,US,no,K-12 (US document terminology),frame_candidate,Current edition TBD,iloveuguys.org,candidate_partly_verified,uncertain_pending_full_text,known_not_reverified,Response-protocol candidate; adoption claims unresolved and not recorded as findings.,,Non-profit protocol; confirm stable version and prescriptive depth.,Confirm current edition and citable source materials.,Do not record 'widely adopted' as a verified fact.,provisional_v0.1
CF-10,Safe and Sound Schools comprehensive school safety framework,Safe and Sound Schools,non_profit,comprehensive_school_safety,,United States,US,no,K-12 (US document terminology),frame_candidate,Current edition TBD,safeandsoundschools.org,candidate_partly_verified,uncertain_pending_full_text,known_not_reverified,Multi-domain non-profit framework candidate.,,Prescriptive depth vs advocacy unresolved.,"Locate citable framework document, version, and assess eligibility against inclusion criteria.",,provisional_v0.1
CF-11,FEMA FNSS general-population shelter guidance (2010),FEMA (US DHS),government,accessibility_afn,,United States,US,no,Emergency planning (school applicability unresolved),benchmark_comparator_candidate,November 2010,fema.gov; state EMA redistribution,candidate_verified_identity,likely_eligible,verified_official_source,Possible US AFN comparator fallback if a school-applicable L1 can be pinned.,,Exact document and school vs shelter focus unresolved.,Operational L1 pinned as DOC-ALT-FNSS-001 under PA-2026-07-31-002,OPT-B operational benchmark; shelter≠school limitation disclosed; not gold standard,provisional_v0.1
CF-12,Best-Practice Considerations for Armed Assailant Drills in Schools,NASP (possibly with NASRO — confirm),professional_association,active_assailant_response,,United States,US,no,K-12 (US document terminology),frame_candidate,Current edition TBD,nasponline.org,candidate_partly_verified,likely_eligible,known_not_reverified,Drill/best-practice guidance candidate from a professional association.,,Confirm co-issuers and current version.,"Confirm current version, co-authors/issuers, and stable URL.",,provisional_v0.1
CF-13,"Plan Particulier de Mise en Sûreté (PPMS), unified",Ministère de l'Éducation nationale (France),government,eop,active_assailant_response,France,Europe,yes,Écoles/établissements (French document terminology),frame_candidate,Unified circular 8 June 2023; transition regime to 2028 noted,eduscol.education.fr; education.gouv.fr,candidate_verified_identity,likely_eligible,verified_official_source,French EOP + attentat-intrusion doctrine candidate; non-Anglophone European representation.,Librarian notes surface indications of multimodal alert distinct from fire alarm and age-adapted exercises/annex for youngest pupils. NOT an audit finding; coding required.,Transition regime and fascicule versions must be documented before freeze.,Confirm current modèle/fascicule versions and document 2023–2028 transition precisely.,Surface indications only; no coded disability/executability findings.,provisional_v0.1
CF-14,Plan Director para la Convivencia y Mejora de la Seguridad en los Centros Educativos,Ministerio del Interior (Spain); coordination with Educación/Igualdad claimed — confirm,government,btam,other,Spain,Europe,yes,Centros educativos (Spanish document terminology),frame_candidate,Instrucción 6/2023,interior.gob.es,candidate_verified_identity,uncertain_pending_full_text,verified_official_source,Spanish prevention/detection and police–education coordination candidate (detectability-adjacent).,,May be awareness/coordination rather than prescriptive/assessment framework — eligibility threshold unresolved.,Full-text screen for prescriptive/assessment content threshold; identify operational annexes for schools vs police units.,Eligibility uncertain despite verified identity.,provisional_v0.1
CF-15,Norma Básica de Autoprotección (RD 393/2007) and related school self-protection planning,Gobierno de España (RD 393/2007); autonomic education/protección civil for local guides,government,eop,,Spain,Europe,yes,Centros docentes including educación especial (Spanish document terminology),frame_candidate,RD 393/2007; autonomic updates TBD,boe.es; autonomic portals,candidate_verified_identity,likely_eligible,verified_official_source,Spanish regulatory self-protection candidate; possible setting taxonomy relevant to sampling balance.,Librarian notes that the applicability taxonomy appears to distinguish certain special-education settings (centros de educación especial) by evacuation/self-evacuation capacity. Recorded as surface indication only — NOT a substantive executability finding.,Applicability thresholds and autonomic L1 selection unresolved.,Confirm amendments to RD 393/2007; choose at most one autonomic school self-protection guide as L1 if needed; do not double-count national+autonomic as two frameworks.,No executability coding performed.,provisional_v0.1
CF-16,Protective Security and Preparedness for Education Settings,Department for Education (England),government,physical_security,active_assailant_response,England (United Kingdom; devolved),Europe,no,Education settings (England document terminology),frame_candidate,April 2025 guidance,assets.publishing.service.gov.uk; gov.uk,candidate_verified_identity,likely_eligible,verified_official_source,England protective-security guidance candidate; European non-EU jurisdiction.,Librarian notes surface text directing settings to adjust the generic plan for the impact of disability / holding areas. NOT an audit finding; coding required to determine rung/locus.,England-only devolution; overlap with CF-17 must be flagged so shared content is not double-counted as independent evidence.,Confirm current (not superseded); document overlap with CF-17.,geographic_region=Europe; eu_member_state=no. Do not use EU/UK label.,provisional_v0.1
CF-17,"Emergency Planning and Response for Education, Childcare and Children's Social Care Settings",Department for Education (England),government,eop,,England (United Kingdom; devolved),Europe,no,Education/childcare/children's social care settings,frame_candidate,First published Aug 2022; updated 2023 (non-statutory) — confirm current,gov.uk,candidate_verified_identity,likely_eligible,verified_official_source,England EOP guidance candidate; distinct L0 from CF-16.,,Non-statutory; overlap with CF-16.,Confirm current version and document overlap with CF-16.,Treat as related but independent framework from CF-16.,provisional_v0.1
CF-18,ACT for Education,Counter Terrorism Policing / NaCTSO (ProtectUK),government,active_assailant_response,,United Kingdom,Europe,no,Education settings,frame_candidate,Current edition TBD,protectuk.police.uk,candidate_partly_verified,uncertain_pending_full_text,partly_verified,UK counter-terror education training/materials candidate referenced alongside DfE guidance.,,May be training-only rather than a prescriptive/assessment framework.,Confirm current version and whether materials meet the prescriptive/assessment inclusion threshold.,,provisional_v0.1
CF-19,Prevent duty guidance,UK Government (Home Office),government,prevention_radicalisation,btam,United Kingdom,Europe,no,Multi-sector including education,frame_candidate,Revised 2023 claimed — confirm,gov.uk,candidate_partly_verified,uncertain_pending_full_text,known_not_reverified,Statutory prevention duty candidate; school-applicable subset must be isolated.,,Multi-sector; not school-security-specific.,Confirm current revision and locate school-applicable prescriptive content.,,provisional_v0.1
CF-20,RAN Youth & Education / EU Knowledge Hub prevention materials (specific document TBD),European Commission DG HOME — RAN archived 2024; succeeded by EU Knowledge Hub (specific paper TBD),supranational,prevention_radicalisation,,European Union,Europe,not_applicable,Education among sectors (unresolved),not_comparator,Specific dated paper TBD; RAN archival since 2024,home-affairs.ec.europa.eu,candidate_unverified,uncertain_pending_full_text,provisional_to_locate,EU-institutional slot remains unresolved; RAN generically is not an eligible framework.,,Practice papers may fail prescriptive/assessment threshold; archival provenance.,Locate a specific dated Youth & Education / Knowledge Hub document with clear attribution before any eligibility upgrade. Do not cite 'RAN' generically.,EU-institutional corpus slot unresolved.,provisional_v0.1
