framework_id,identity_status,provenance_status,screening_status,unresolved_issue,recommended_freeze_disposition,rationale,evidence_reference,recommendation_status,as_of_date,NOT_A_FROZEN_INCLUSION
CF-01,candidate_verified_identity,verified_official_source,likely_eligible,Stable official URL+full-text screen,hold,Strong frame candidate; URL/full-text not yet captured in registry,register v0.1; identity verified,recommendation_only_not_frozen,2026-07-31,true
CF-02,candidate_partly_verified,partly_verified,uncertain_pending_full_text,Operational CMIST L1 pin,background_only,OPT-B conceptual/bibliographic; not primary coded L1 unless late-access dual amendment,OA-CF02-001; DOC-CF02-01,recommendation_only_not_frozen,2026-07-31,true
CF-03,candidate_verified_identity,verified_official_source,likely_eligible,Archive authorized local copy; code PE unitization on Guide,include,Core US physical-security doctrine; official landing+PDF URL verified 2026-07-31; still needs local authorized copy before coding,https://www.cisa.gov/resources-tools/resources/k-12-school-security-guide-3rd-edition,recommendation_only_not_frozen,2026-07-31,true
CF-04,candidate_partly_verified,partly_verified,uncertain_pending_full_text,Edition date + checklist versioning,hold,Do not silently finalize PASS edition,register notes,recommendation_only_not_frozen,2026-07-31,true
CF-05,candidate_verified_identity,verified_official_source,likely_eligible,URL capture; Branch B content must not enter Branch A aggregates,hold,"In-scope domain (BTAM) for sampling, but current paper codes only executability engagement; full-text screen for protective-action PEs still required",register; Branch B inactive,recommendation_only_not_frozen,2026-07-31,true
CF-06,candidate_partly_verified,known_not_reverified,uncertain_pending_full_text,Manual edition + issuer attribution,hold,L1 TBD; OpenAlex related lit ≠ L1,OA-CF06-001,recommendation_only_not_frozen,2026-07-31,true
CF-07,candidate_partly_verified,known_not_reverified,uncertain_pending_full_text,Current official URL + REMS annex identity,hold,EOP candidate; companion annex unresolved,DOC-CF07-01/02,recommendation_only_not_frozen,2026-07-31,true
CF-08,candidate_partly_verified,partly_verified,uncertain_pending_full_text,Authorship/host confirmation,hold,CPTED tool provenance incomplete,register,recommendation_only_not_frozen,2026-07-31,true
CF-09,candidate_partly_verified,known_not_reverified,uncertain_pending_full_text,Current official SRP materials URL/version,hold,Likely inhibitory-demand rich; provenance incomplete,register,recommendation_only_not_frozen,2026-07-31,true
CF-10,candidate_partly_verified,known_not_reverified,uncertain_pending_full_text,Citable version,hold,Non-profit comprehensive candidate; not reverified,register,recommendation_only_not_frozen,2026-07-31,true
CF-11,candidate_verified_identity,verified_official_source,likely_eligible,Shelter vs school limitation for RQ4 disclosure,comparator,PA-2026-07-31-002 operational Phase-B L1 (FNSS 2010),DOC-ALT-FNSS-001; checksum ab21f61b…,recommendation_only_not_frozen,2026-07-31,true
CF-12,candidate_partly_verified,known_not_reverified,likely_eligible,Official URL/version,hold,Armed-assailant drill guidance candidate; needs provenance refresh,register,recommendation_only_not_frozen,2026-07-31,true
CF-13,candidate_verified_identity,verified_official_source,likely_eligible,Stable eduscol URL + local authorized copy,include,European EOP/active-assailant doctrine; counterexample commitment; needs URL capture in registry,counterexample CF-13,recommendation_only_not_frozen,2026-07-31,true
CF-14,candidate_verified_identity,verified_official_source,uncertain_pending_full_text,Prescriptive threshold / Branch B dominance,hold,May be detection-heavy; eligibility for executability PEs uncertain pending full-text,register,recommendation_only_not_frozen,2026-07-31,true
CF-15,candidate_verified_identity,verified_official_source,likely_eligible,Local authorized copy; setting-differentiation coding at L0,include,Regulatory EOP; counterexample commitment for setting taxonomy,counterexample CF-15,recommendation_only_not_frozen,2026-07-31,true
CF-16,candidate_verified_identity,verified_official_source,likely_eligible,Local authorized copy of guidance PDF,include,England protective-security guidance; official GOV.UK landing verified 2026-07-31; counterexample commitment,https://www.gov.uk/government/publications/protective-security-and-preparedness-for-education-settings,recommendation_only_not_frozen,2026-07-31,true
CF-17,candidate_verified_identity,verified_official_source,likely_eligible,Local authorized copy,include,UK/DfE emergency planning education settings; needs URL in registry,register,recommendation_only_not_frozen,2026-07-31,true
CF-18,candidate_partly_verified,partly_verified,uncertain_pending_full_text,ACT e-learning vs guidance boundary,hold,Related to CF-16 ecosystem; may be background_only if not independently prescriptive,GOV.UK ACT link on CF-16 page,recommendation_only_not_frozen,2026-07-31,true
CF-19,candidate_partly_verified,known_not_reverified,uncertain_pending_full_text,Current Prevent revision + school-specific extractability,hold,Multi-sector statutory duty; school PE extractability unresolved,register,recommendation_only_not_frozen,2026-07-31,true
CF-20,candidate_unverified,provisional_to_locate,uncertain_pending_full_text,Dated citable document,exclude,No verified dated document; exclude from freeze unless located,register,recommendation_only_not_frozen,2026-07-31,true
CF-21,candidate_unverified,provisional_to_locate,likely_ineligible,Specific Länder document never located,exclude,Librarian placeholder; do not invent German document,register,recommendation_only_not_frozen,2026-07-31,true
CF-22,candidate_unverified,provisional_to_locate,uncertain_pending_full_text,Citable PEEP framework/template,hold,Comparator aspiration blocked without citable L1,DOC-CF22-01,recommendation_only_not_frozen,2026-07-31,true
