participant_id,item_id,response_value,experiment_id,pass_type
,US-01,,EXP-03,independent_human
,US-02,,EXP-03,independent_human
,US-03,,EXP-03,independent_human
,US-04,,EXP-03,independent_human
,US-05,,EXP-03,independent_human
,US-06,,EXP-03,independent_human
,US-07,,EXP-03,independent_human
,US-08,,EXP-03,independent_human
,US-09,,EXP-03,independent_human
,US-10,,EXP-03,independent_human
,US-11,,EXP-03,independent_human
,US-12,,EXP-03,independent_human
,US-13,,EXP-03,independent_human
,US-14,,EXP-03,independent_human
,US-15,,EXP-03,independent_human
,US-16,,EXP-03,independent_human
