pe_id,document_id,candidate_id,pilot_id,acquisition_id,source_location,page_number,section_heading,verbatim_trigger_text,excerpt_policy,local_excerpt_ref,coder_segmentation_notes,measure_present,measure_type,prescriptive_force,unitization_ambiguity,setting_differentiation_surface,pilot_phase,sample_role,pilot_flag,inference_flag,benchmark_flag,protocol_flag
PE-OPA-CF16-01,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.4 Overview bullet: security lead,4,Overview,a ‘security’ lead should be appointed…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-01,Planning/role prescription; actor=settings; variation=planning requirement,1,other,recommended,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-02,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.4 Overview bullet: SEND inclusive/accessible,4,Overview,settings should consider what works best… SEND…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-02,Generic consider/inclusive language — stress test support_present vs rung 2,1,procedural_response,recommended,medium,1_subgroup_mention,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-03,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.4 Overview bullet: RUN HIDE TELL familiarisation,4,Overview,all staff should familiarise themselves with RUN HIDE TELL…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-03,Multi-action protocol name; demands largely entailed from named protocol; cross-ref to later section,1,procedural_response,recommended,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-04,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.4 Overview bullet: Lockdown Invacuation Evacuation,4,Overview,educational settings should consider three response options…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-04,Multi-option decision prescription; actor=settings,1,procedural_response,recommended,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-05,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.4 Overview bullet: PEEPs,4,Overview,Personal Emergency Evacuation Plans (PEEPs) should be in place…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-05,Named support (PEEP); individual locus candidate; higher rung candidate,1,procedural_response,recommended,low,1_individual_plans,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-06,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.5 Settings should test their plans…,5,Introduction / testing plans,Settings should test their plans to make sure they are suitable…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-06,Testing + trauma consideration; ladder ambiguity: plan testing vs executability testing,1,training_drill,recommended,high,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-07,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.8 Special schools SEND buddies/marshals,8,For Special schools and learners/staff with SEND,settings should therefore consider having specific buddies/marshals…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-07,Named support role; subgroup/setting differentiation surface,1,procedural_response,recommended,low,1_special_schools_section,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF16-08,DOC-CF16-01,CF-16,P1,ACQ-P1-CF16-01,PDF p.11 College A amends plan after inaccessible egress,11,Case illustration: practice lockdown accessibility,College A then amends their plan to make reasonable adjustments…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF16-08,Exercise evidence used to revise — candidate rung 5; illustrative case not binding shall,1,training_drill,unspecified,high,1_mobility,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-01,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.6 multi-disciplinary team,6,Planning team,Schools should build a multi-disciplinary team…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-01,Planning requirement; low protective-action demand,1,other,recommended,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-02,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.12 threat assessment and reporting process,12,Prevention / threat assessment mention,a school’s robust threat assessment and reporting process…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-02,Branch B surface — out of scope for demand-capability model; Family F inactive,1,behavioural_threat_assessment,unspecified,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-03,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.25 PA lockdown message prompts close/lock/move,25,Building perimeter / lockdown PA,A PA message announcing a lockdown emergency…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-03,Direct action + alert perception explicit; multi-action sentence,1,procedural_response,recommended,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-04,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.25 Regular drills can help… practice these actions,25,Building perimeter / drills,Regular drills can help members of the school community practice…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-04,Drill language; ladder ambiguity vs CF-16 testing,1,training_drill,recommended,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-05,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.23 emergency call boxes awareness,23,School grounds / emergency call boxes,"If emergency call boxes are put in place, schools should ensure…",public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-05,Conditional physical + communication demand,1,communication_alerting,recommended,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-06,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.7 SSAT companion assessment tool,7,School Security Assessment Tool,School Security Assessment Tool (SSAT)… further guidance…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-06,Assessment tool for physical security — not executability assessment (rung 3 trap),1,other,optional,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF03-07,DOC-CF03-01,CF-03,P2,ACQ-P2-CF03-01,PDF p.22 unintended consequences of security measures,22,Unintended consequences,School personnel should also consider the potential for various security measures to have unintended consequences…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF03-07,Conflict acknowledgement surface (Family I),1,other,recommended,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-01,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF Art.4.1.a elaboración/implantación/mantenimiento/revisión,12842,Artículo 4 / elaboración planes,"elaboración, implantación, mantenimiento y revisión es responsabilidad…",public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-01,Multi-action planning obligation; actor=titular; Spanish unitization,1,other,required,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-02,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF 1.4.c implantación y mantenimiento eficacia,12844,1.4 Obligaciones titulares,Desarrollar las actuaciones para la implantación y el mantenimiento de la eficacia…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-02,Efficacy maintenance — cross-ref Annex II,1,other,required,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-03,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF 3.6 simulacros al menos una vez al año,12846,3.6 Mantenimiento eficacia / simulacros,se realizarán simulacros de emergencia… al menos una vez al año…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-03,Annual drills + evaluate results — rung 4 vs 5 ambiguity,1,training_drill,required,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-04,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF Annex I docente disability / other thresholds,12847,ANEXO I e) Actividades docentes,Establecimientos de uso docente especialmente destinados a personas discapacitadas…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-04,Setting differentiation: special/disability education settings vs size/height thresholds — G1 stress; not protective-action support,1,other,required,high,1_annex_I_docente_split,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-05,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF 3.7 plan revisión,12846,3.7 Vigencia / revisión,"se revisará, al menos, con una periodicidad no superior a tres años…",public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-05,Revision requirement; source-format: consolidado HTML marks Norma derogated 2023 — provenance condition,1,other,required,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-06,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF 1.4.e informar y formar al personal,12845,1.4 e) Informar y formar,Informar y formar al personal a su servicio…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-06,Training prescription,1,training_drill,required,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF15-07,DOC-CF15-01,CF-15,P3,ACQ-P3-CF15-01,BOE PDF 1.5 participar en la medida de sus capacidades,12845,1.5 Obligaciones del personal,"obligación de participar, en la medida de sus capacidades…",public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF15-07,Capability language — ambiguous_memo risk; not AFN support,1,procedural_response,required,high,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF13-01,DOC-CF13-01,CF-13,P4,ACQ-P4-CF13-01,Wayback HTML §intro: doit préparer organisation / PPMS,,Introduction / obligation PPMS,Chaque école… doit… préparer… organisation… PPMS…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF13-01,P4 archive HTML; planning obligation; French,1,other,required,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF13-02,DOC-CF13-01,CF-13,P4,ACQ-P4-CF13-01,Wayback HTML §5: au moins deux exercices PPMS,,5 – Exercices et retours d’expérience,réalise au moins deux exercices PPMS… chaque année…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF13-02,Two annual exercises — testing language,1,training_drill,required,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF13-03,DOC-CF13-01,CF-13,P4,ACQ-P4-CF13-01,Wayback HTML §5: élèves en situation de handicap / PAI,,5 – Exercices,attention particulière… élèves en situation de handicap…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF13-03,Attention particulière — generic vs named PAI support; benchmark-relevant,1,training_drill,recommended,high,1_handicap_PAI,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF13-04,DOC-CF13-01,CF-13,P4,ACQ-P4-CF13-01,Wayback HTML §5: sans effet de surprise / arme factice proscrite,,5 – Exercices,L’exercice doit se dérouler sans effet de surprise…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF13-04,Exercise condition/exception constraints,1,training_drill,required,low,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
PE-OPA-CF13-05,DOC-CF13-01,CF-13,P4,ACQ-P4-CF13-01,Wayback HTML §5: REX peuvent alimenter actualisation,,5 – Retours d’expérience,Les retours d’expérience… peuvent alimenter son actualisation…,public_short_stem_only; full_excerpt_gitignored,local_sources/pilot_coding/phase_a_excerpts.json#PE-OPA-CF13-05,Optional ('peuvent') evidence-informed revision — rung 5 force weak,1,other,optional,medium,0,A_operational,operational_pilot_sample,PILOT,NOT_FOR_SUBSTANTIVE_INFERENCE,NOT_FOR_BENCHMARK_COMPARISON,PROTOCOL_DEVELOPMENT_ONLY
